date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:06	13118/13118	---MCZ	200	added ('OK')	text/css	etag:W/%225d0de4bb-333e%22	https://exponentwptheme.com/finance/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.12	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/instagram-feed/css/sb-instagram.min2f3e.css	(from https://exponentwptheme.com/finance/)
20:57:06	32248/32248	---MCZ	200	added ('OK')	text/css	etag:W/%225dd008fb-a5bc%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/includes/icons/tatsu_icons/tatsu-icons.css?ver=5.3.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/tatsu/includes/icons/tatsu_icons/tatsu-icons03ec.css	(from https://exponentwptheme.com/finance/)
20:57:07	0/0	---M--	200	added ('OK')	text/css	etag:%225dd0091b-62%22	https://exponentwptheme.com/finance/wp-content/plugins/typehub/public/css/typehub-public.css?ver=2.0	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/typehub/public/css/typehub-publicd5f7.css	(from https://exponentwptheme.com/finance/)
20:57:07	30716/30716	---MCZ	200	added ('OK')	text/css	etag:W/%225c57ce92-9b8c%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.1	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/css/settings84f5.css	(from https://exponentwptheme.com/finance/)
20:57:08	1257/1257	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0086b-4e9%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/fonts/icons.css?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/fonts/icons9030.css	(from https://exponentwptheme.com/finance/)
20:57:09	25334/25334	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0086b-62f6%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/css/vendor/vendor.min.css?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/css/vendor/vendor.min9030.css	(from https://exponentwptheme.com/finance/)
20:57:09	81143/81143	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0086b-13cf7%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/css/main.min.css?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/css/main.min9030.css	(from https://exponentwptheme.com/finance/)
20:57:10	529/529	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0086b-211%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/style.css?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/style9030.css	(from https://exponentwptheme.com/finance/)
20:57:10	96866/96866	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/jquery4a5f.js	(from https://exponentwptheme.com/finance/)
20:57:10	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://exponentwptheme.com/finance/)
20:57:10	12172/12172	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0091b-2f8c%22	https://exponentwptheme.com/finance/wp-content/plugins/typehub/public/js/webfont.min.js?ver=5.3.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/typehub/public/js/webfont.min03ec.js	(from https://exponentwptheme.com/finance/)
20:57:11	110564/110564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c57ce92-1afe4%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.8.1	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min84f5.js	(from https://exponentwptheme.com/finance/)
20:57:11	64949/64949	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c57ce92-fdb5%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.8.1	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min84f5.js	(from https://exponentwptheme.com/finance/)
20:57:11	14505/14505	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0086b-38a9%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/vendor/modernizr.min.js?ver=5.3.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/vendor/modernizr.min03ec.js	(from https://exponentwptheme.com/finance/)
20:57:12	876/876	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Nov%202020%2015:27:12%20GMT	https://exponentwptheme.com/finance/xmlrpc.php?rsd	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/xmlrpc0db0.php	(from https://exponentwptheme.com/finance/)
20:57:13	83151/83151	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Nov%202020%2015:27:12%20GMT	https://exponentwptheme.com/finance/wp-json/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-json/index.html	(from https://exponentwptheme.com/finance/)
20:57:13	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Thu,%2012%20Nov%202020%2015:27:13%20GMT	https://exponentwptheme.com/finance/wp-includes/wlwmanifest.xml	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/wlwmanifest.xml	(from https://exponentwptheme.com/finance/)
20:57:14	2274/2274	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Nov%202020%2015:27:14%20GMT	https://exponentwptheme.com/finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fexponentwptheme.com%2Ffinance%2F	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-json/oembed/1.0/embed5395.json	(from https://exponentwptheme.com/finance/)
20:57:16	2369/2369	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Nov%202020%2015:27:15%20GMT	https://exponentwptheme.com/finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fexponentwptheme.com%2Ffinance%2F&format=xml	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-json/oembed/1.0/embed36e7	(from https://exponentwptheme.com/finance/)
20:57:17	6405/6405	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c498f35-1905%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-dark.svg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-dark.svg	(from https://exponentwptheme.com/finance/)
20:57:17	197171/197171	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:16%20GMT	https://exponentwptheme.com/finance/about-2/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/about-2/index.html	(from https://exponentwptheme.com/finance/)
20:57:18	260412/260412	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:16%20GMT	https://exponentwptheme.com/finance/home/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/home/index.html	(from https://exponentwptheme.com/finance/)
20:57:19	6407/6407	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c498f35-1907%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-light.svg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/12/exp-logo-light.svg	(from https://exponentwptheme.com/finance/)
20:57:19	161514/161514	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:17%20GMT	https://exponentwptheme.com/finance/services/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/services/index.html	(from https://exponentwptheme.com/finance/)
20:57:20	130278/130278	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:17%20GMT	https://exponentwptheme.com/finance/portfolio/consulting/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/consulting/index.html	(from https://exponentwptheme.com/finance/)
20:57:20	130148/130148	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:19%20GMT	https://exponentwptheme.com/finance/portfolio/stock-markets/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/stock-markets/index.html	(from https://exponentwptheme.com/finance/)
20:57:21	131394/131394	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:20%20GMT	https://exponentwptheme.com/finance/portfolio/mutual-funds/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/mutual-funds/index.html	(from https://exponentwptheme.com/finance/)
20:57:21	131757/131757	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:20%20GMT	https://exponentwptheme.com/finance/portfolio/insurance/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/insurance/index.html	(from https://exponentwptheme.com/finance/)
20:57:22	131763/131763	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:21%20GMT	https://exponentwptheme.com/finance/portfolio/business-loans/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/business-loans/index.html	(from https://exponentwptheme.com/finance/)
20:57:22	131250/131250	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:22%20GMT	https://exponentwptheme.com/finance/portfolio/money-markets/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/portfolio/money-markets/index.html	(from https://exponentwptheme.com/finance/)
20:57:22	138518/138518	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:22%20GMT	https://exponentwptheme.com/finance/blog/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/blog/index.html	(from https://exponentwptheme.com/finance/)
20:57:23	133605/133605	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:22%20GMT	https://exponentwptheme.com/finance/contact/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/contact/index.html	(from https://exponentwptheme.com/finance/)
20:57:23	73/73	---M--	200	added ('OK')	image/png	etag:%225c57ce92-49%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/admin/assets/images/dummy.png	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/revslider/admin/assets/images/dummy.png	(from https://exponentwptheme.com/finance/)
20:57:24	71503/71503	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6760-1174f%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-2.jpg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-2.jpg	(from https://exponentwptheme.com/finance/)
20:57:24	79486/79486	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6762-1367e%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-3.jpg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-3.jpg	(from https://exponentwptheme.com/finance/)
20:57:25	152905/152905	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6763-25549%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-4.jpg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-4.jpg	(from https://exponentwptheme.com/finance/)
20:57:25	41574/41574	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b9b6765-a266%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-5.svg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-IMG-5.svg	(from https://exponentwptheme.com/finance/)
20:57:25	138947/138947	---M--	200	added ('OK')	image/jpeg	etag:%225b9b6766-21ec3%22	https://exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-Test-IMG.jpg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/uploads/sites/19/2018/09/Home-Test-IMG.jpg	(from https://exponentwptheme.com/finance/)
20:57:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fac1ec5-4d7%22	https://exponentwptheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://exponentwptheme.com/finance/)
20:57:26	136746/136746	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:26%20GMT	https://exponentwptheme.com/finance/by-2030-every-person-in-the-planet-will-have-a-smartphone/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/by-2030-every-person-in-the-planet-will-have-a-smartphone/index.html	(from https://exponentwptheme.com/finance/)
20:57:27	123661/123661	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:26%20GMT	https://exponentwptheme.com/finance/category/news/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/news/index.html	(from https://exponentwptheme.com/finance/)
20:57:27	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Nov%202020%2015:27:27%20GMT	https://exponentwptheme.com/finance/wp-admin/admin-ajax.php	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-admin/admin-ajax.php	(from https://exponentwptheme.com/finance/)
20:57:28	128271/128271	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:27%20GMT	https://exponentwptheme.com/finance/category/technology/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/technology/index.html	(from https://exponentwptheme.com/finance/)
20:57:28	141350/141350	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:27%20GMT	https://exponentwptheme.com/finance/places-you-need-to-visit-before-you-get-married/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/places-you-need-to-visit-before-you-get-married/index.html	(from https://exponentwptheme.com/finance/)
20:57:29	4680/4680	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dd008fb-1248%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-dark-logo.svg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-dark-logo.svg	(from https://exponentwptheme.com/finance/)
20:57:30	117007/117007	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:28%20GMT	https://exponentwptheme.com/finance/category/travel/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/travel/index.html	(from https://exponentwptheme.com/finance/)
20:57:30	119357/119357	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:28%20GMT	https://exponentwptheme.com/finance/category/lifestyle/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/lifestyle/index.html	(from https://exponentwptheme.com/finance/)
20:57:31	133085/133085	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:29%20GMT	https://exponentwptheme.com/finance/why-you-to-hire-a-lawyer-to-prepare-your-privacy-policy/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/why-you-to-hire-a-lawyer-to-prepare-your-privacy-policy/index.html	(from https://exponentwptheme.com/finance/)
20:57:31	4680/4680	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dd008fb-1248%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-light-logo.svg	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/tatsu/img/exponent-light-logo.svg	(from https://exponentwptheme.com/finance/)
20:57:32	121571/121571	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:30%20GMT	https://exponentwptheme.com/finance/category/miscellaneous/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/miscellaneous/index.html	(from https://exponentwptheme.com/finance/)
20:57:33	123858/123858	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Nov%202020%2015:27:31%20GMT	https://exponentwptheme.com/finance/category/tips/	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/category/tips/index.html	(from https://exponentwptheme.com/finance/)
20:57:33	2385/2385	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc99356-951%22	https://exponentwptheme.com/finance/wp-includes/js/comment-reply.min.js?ver=5.3.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/comment-reply.min03ec.js	(from https://exponentwptheme.com/finance/)
20:57:34	713/713	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-2c9%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/asyncloader.min.js?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/asyncloader.min9030.js	(from https://exponentwptheme.com/finance/)
20:57:35	1703/1703	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-6a7%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/helpers.min.js?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/helpers.min9030.js	(from https://exponentwptheme.com/finance/)
20:57:36	358/358	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-166%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/debouncedresize.min.js?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/debouncedresize.min9030.js	(from https://exponentwptheme.com/finance/)
20:57:36	2050/2050	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-802%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/portfolio.min.js?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/portfolio.min9030.js	(from https://exponentwptheme.com/finance/)
20:57:36	10901/10901	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0097b-3868%22	https://exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.5	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/js/scriptsc6ac.js	(from https://exponentwptheme.com/finance/)
20:57:37	7146/7146	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0089b-1bea%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/js/exp-modules.min.js?ver=2.1	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/js/exp-modules.min53cf.js	(from https://exponentwptheme.com/finance/)
20:57:37	99783/99783	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0de4bb-185c7%22	https://exponentwptheme.com/finance/wp-content/plugins/instagram-feed/js/sb-instagram.min.js?ver=1.12	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/instagram-feed/js/sb-instagram.min2f3e.js	(from https://exponentwptheme.com/finance/)
20:57:38	5969/5969	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd008fb-1751%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/vendor/es6-promise.auto.min.js?ver=5.3.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/vendor/es6-promise.auto.min03ec.js	(from https://exponentwptheme.com/finance/)
20:57:38	3931/3931	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-f5b%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/ui/core.mine899.js	(from https://exponentwptheme.com/finance/)
20:57:38	6838/6838	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-1ab6%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/ui/widget.mine899.js	(from https://exponentwptheme.com/finance/)
20:57:38	8566/8566	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-2176%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/ui/accordion.mine899.js	(from https://exponentwptheme.com/finance/)
20:57:39	12036/12036	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-2f04%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/tabs.min.js?ver=1.11.4	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-includes/js/jquery/ui/tabs.mine899.js	(from https://exponentwptheme.com/finance/)
20:57:39	26775/26775	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd008fb-6897%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/tatsu.min.js?ver=3.1.6	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/tatsu.min005e.js	(from https://exponentwptheme.com/finance/)
20:57:39	8756/8756	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd008fb-2234%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/public/js/tatsu-header.min.js?ver=3.1.6	C:/Users/user/Desktop/exponentwptheme/exponentwptheme.com/finance/wp-content/plugins/tatsu/public/js/tatsu-header.min005e.js	(from https://exponentwptheme.com/finance/)
20:57:40	12901/12901	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0086b-3265%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/main.min.js?ver=1.2.4	C:/Users/user/Desktop/exponentwptheme/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/main.min9030.js	(from https://exponentwptheme.com/finance/)
